name,description,brand,size_by_ml,six,type,old_price,price
eros pour femme,"eros pour femme by versace for women - eau de parfum, 50ml",versace ,50,women,parfum,263.00 SAR,173.97
givenchy,"givenchy for men -eau de toilette, 100 ml-",na,100,men,toilette,263.00 SAR,147.98
reveal,"reveal by calvin klein for women - eau de parfum, 100ml",calvin klein ,100,women,parfum,515.00 SAR,107.99
hugo xx,"hugo xx by hugo boss for women - eau de toilette, 100ml",hugo boss ,100,women,toilette,357.00 SAR,122.98
chloe,"chloe for women - eau de parfum, 75ml",na,75,women,parfum,250.99,250.99
eau de lacoste l.12.12 pour elle elegant,"eau de lacoste l.12.12 pour elle elegant by lacoste for women - eau de toilette, 90ml",lacoste ,90,women,toilette,336.00 SAR,114.98
decadence,"decadence by marc jacobs for women - eau de parfum, 100ml",marc jacobs ,100,women,parfum,462.00 SAR,259.80
amor amor,"amor amor by cacharel for women - eau de toilette, 100ml",cacharel ,100,women,toilette,436.00 SAR,148.40
silver mountain water,"silver mountain water by creed for men - eau de toilette, 120ml",creed ,120,men,toilette,"1,165.00 SAR",950.00
narciso rodriguez perfume,"narciso rodriguez perfume for women , eau de parfum , 50ml",na,50,women,parfum,420.00 SAR,226.49
femme individuelle,"femme individuelle by mont blanc for women - eau de toilette, 75ml",mont blanc ,75,women,toilette,315.00 SAR,107.52
s.t. dupont pour homme,"s.t. dupont pour homme for men -100 ml , eau de toilette",na,100,men,toilette,221.00 SAR,75.04
360,"360 by perry ellis for women - eau de toilette, 100ml",perry ellis ,100,women,toilette,158.00 SAR,99.96
miracle,"miracle by lancome for women - eau de parfum, 100ml",lancome ,100,women,parfum,580.00 SAR,249.60
wood mystique,"wood mystique by estee lauder for women - eau de parfum, 100 ml",estee lauder ,100,women,parfum,441.00 SAR,284.97
pasha de cartier edition noire sport,"pasha de cartier edition noire sport by cartier for men - eau de toilette, 100ml",cartier ,100,men,toilette,472.50 SAR,153.00
gentlemen only,"gentlemen only by givenchy for men - eau de toilette, 100ml",givenchy ,100,men,toilette,357.00 SAR,268.55
black muscs,"black muscs by alexandre j for men & wonen - eau de parfum, 100 ml",alexandre j ,100,men,parfum,578.00 SAR,235.20
desire,"desire by dunhill for men - eau de toilette, 100ml",dunhill ,100,men,toilette,210.00 SAR,107.96
intensive aoud black,"intensive aoud black by mancera for men & women – eau de parfum, 120ml",mancera ,120,unisex,parfum,447.00 SAR,273.48
calvin klein escape eau de parfum,"calvin klein escape eau de parfum for women, 100ml",na,100,women,parfum,73.97,73.97
terre d' hermes,"terre d' hermes by hermes for men - eau de parfum, 75 ml",hermes ,75,men,parfum,451.00 SAR,254.69
visit,"visit by azzaro for men - eau de toilette, 100 ml",azzaro ,100,men,toilette,252.00 SAR,89.97
body kouros,"body kouros by yves saint laurent for men - eau de toilette, 100ml",yves saint laurent ,100,men,toilette,510.00 SAR,177.83
black xs los angeles,"black xs los angeles by paco rabanne for men - eau de toilette, 100ml",paco rabanne ,100,men,toilette,346.00 SAR,177.32
jaguar classic red,"jaguar classic red for men - eau de toilette, 100ml",na,100,men,toilette,119.00 SAR,44.85
