name,description,brand,size_by_ml,six,type,old_price,price
ange ou demon le secret elixir,"ange ou demon le secret elixir by givenchy for women - eau de parfum, 100ml",givenchy ,100,women,parfum,499.00,499.00
amber romance,"amber romance by victoria's secret for women - eau de parfum, 250ml",victoria's secret ,250,women,parfum,73.50 SAR,41.00
dolce & gabbana,"dolce & gabbana by dolce & gabbana for men - eau de toilette, 125ml",dolce & gabbana ,125,men,toilette,419.00 SAR,205.18
gucci guilty absolute,"gucci guilty absolute by gucci for men - eau de parfum, 90ml",gucci ,90,men,parfum,344.24,344.24
brit rhythm,"brit rhythm by burberry for women - eau de toilette, 50ml",burberry ,50,women,toilette,367.50 SAR,160.00
avon rare gold perfume,"avon rare gold perfume for women, eau de parfum, 50ml",na,50,women,parfum,126.00 SAR,74.00
remy marquis,remy marquis for men -100ml eau de toilette,na,100,men,toilette,135.45 SAR,53.97
orchid soleil,"orchid soleil by tom ford for women - eau de parfum, 100ml",tom ford ,100,women,parfum,588.00 SAR,428.17
fendi l'acquarossa,"fendi l'acquarossa for women -75ml, eau de parfum-",na,75,women,parfum,237.00 SAR,154.47
euphoria gold,"euphoria gold by calvin klein for women - eau de parfum, 100ml",calvin klein ,100,women,parfum,378.00 SAR,191.58
ferrari scuderia black signature,"ferrari scuderia black signature for men - eau de toilette, 125ml",na,125,men,toilette,241.50 SAR,76.66
manifesto l'elixir,"manifesto l'elixir by yves saint laurent for women - eau de parfum, 50ml",yves saint laurent ,50,women,parfum,363.00 SAR,178.46
romance,"romance by al rasasi for women - eau de parfum , 45 ml",al rasasi ,45,women,parfum,31.79,31.79
infinite,"infinite by bentley for men - eau de toilette, 100ml",bentley ,100,men,toilette,336.00 SAR,110.28
let's fly,"let's fly by benetton for men - eau de toilette, 100ml",benetton ,100,men,toilette,120.00 SAR,64.95
guilty pour homme,"guilty pour homme by gucci for men - eau de toilette, 50ml",gucci ,50,men,toilette,133.95,133.95
s.t. dupont so dupont,"s.t. dupont so dupont for men -100ml, eau de toilette,",na,100,men,toilette,314.00 SAR,109.00
ralph lauren polo blue,"ralph lauren polo blue for men, eau de toilette, 125 ml",na,125,men,toilette,426.00 SAR,299.00
champion,"champion by davidoff for men - eau de toilette, 50ml",davidoff ,50,men,toilette,74.49,74.49
horizon,"horizon by davidoff for men - eau de toilette, 125ml",davidoff ,125,men,toilette,300.00 SAR,114.35
rosa assoluto,"rosa assoluto by valentino for women - eau de parfum, 80 ml",valentino ,80,women,parfum,504.00 SAR,221.39
mancera cedra boise 120ml eau de parfum,mancera cedra boise 120ml eau de parfum for men,na,120,men,parfum,429.00 SAR,224.91
al wisam day,"al wisam day by rasasi for men - eau de parfum, 100ml",rasasi ,100,men,parfum,252.00 SAR,77.40
fan di fendi pour homme,"fan di fendi pour homme by fendi for men - eau de toilette, 150 ml",fendi ,150,men,toilette,420.00 SAR,180.60
gucci bamboo eau de parfum,"gucci bamboo eau de parfum for woman, 75 ml",na,75,na,parfum,182.97,182.97
sublime,"sublime by carolina herrera for women - eau de parfum, 80 ml",carolina herrera ,80,women,parfum,515.00 SAR,256.35
5th avenue nyc,"5th avenue nyc by elizabeth arden for women - eau de parfum, 125ml",elizabeth arden ,125,women,parfum,102.48,102.48
one man show gold edition,"one man show gold edition by jacques bogart for men - eau de toilette, 100ml",jacques bogart ,100,men,toilette,54.98,54.98
boss the scent intense,"boss the scent intense by hugo boss for men - eau de parfum, 100ml",hugo boss ,100,men,parfum,228.55,228.55
fancy love,fancy love by jessica simpson 100ml eau de parfume,jessica simpson 100ml eau de parfume,100,na,parfum,221.00 SAR,92.33
ted lapidus black extreme,"ted lapidus black extreme for men -eau de toilette, 100 ml-",na,100,men,toilette,168.00 SAR,71.97
one direction that moment,one direction that moment for women 50ml - eau de parfum,na,50,women,parfum,85.69,85.69
mon jasmin noir,"mon jasmin noir by bvlgari for women - eau de parfum, 50ml",bvlgari ,50,women,parfum,152.13,152.13
furiosa,"furiosa by fendi for women - eau de parfum, 50ml",fendi ,50,women,parfum,439.00 SAR,96.95
terre d' hermes,"terre d' hermes by hermes for men - eau de toillette, 200 ml",hermes ,200,men,na,772.00 SAR,428.19
lady million eau my gold,"lady million eau my gold by paco rabanne for women - eau de toilette, 80ml",paco rabanne ,80,women,toilette,182.92,182.92
gold kim kardashian,"gold kim kardashian for women - 100ml, eau de parfum",na,100,women,parfum,252.00 SAR,98.18
terre d 'hermes,"terre d 'hermes by hermes for men - eau de toilette, 100ml",hermes ,100,men,toilette,241.97,241.97
interlude man,"interlude man by amouage for men - eau de parfum, 100ml",amouage ,100,men,parfum,850.00,850.00
rich delice for women,rich delice for women by johan b spray 2.8 oz.,johan b spray 2.8 oz.,,women,na,126.00 SAR,62.14
solo loewe,"solo loewe by loewe for men - eau de toilette, 125 ml",loewe ,125,men,toilette,204.88,204.88
green tea tropical,"green tea tropical by elizabeth arden for women - eau de toilette, 100ml",elizabeth arden ,100,women,toilette,70.98,70.98
jovan musk,"jovan musk for women - eau de cologne, 59ml",na,59,women,na,19.89,19.89
rose malaki,"rose malaki by chopard for unisex - eau de parfum, 80 ml",chopard ,80,unisex,parfum,208.99,208.99
oud bouquet,"oud bouquet by lancome for unisex - eau de parfum, 75 ml",lancome ,75,unisex,parfum,353.00,353.00
alien,"alien by thierry mugler for women - eau de parfum, 90ml",thierry mugler ,90,women,parfum,286.97,286.97
man in red,"man in red by ferrari for men - eau de toilette, 100ml",ferrari ,100,men,toilette,321.00 SAR,116.97
fantasy the naughty remix,"fantasy the naughty remix by britney spears for women - eau de parfum, 100ml",britney spears ,100,women,parfum,242.00 SAR,107.49
raghba,"raghba by lattafa for unisex - eau de parfum, 100ml",lattafa ,100,unisex,parfum,34.48,34.48
eternity,"eternity by calvin klein for women - eau de parfum, 100ml",calvin klein ,100,women,parfum,145.00 SAR,96.69
ch,"ch by carolina herrera for men - eau de toilette, 100ml",carolina herrera ,100,men,toilette,420.00 SAR,227.82
miss dior blooming bouquet,"miss dior blooming bouquet by christian dior for women - eau de toilette, 100 ml",christian dior ,100,women,toilette,583.00 SAR,433.79
angel,"angel by thierry mugler for women - eau de parfum, 50ml",thierry mugler ,50,women,parfum,420.00 SAR,236.97
green tree cherry blossom,"green tree cherry blossom by elizabeth arden for women - eau de toilette, 100ml",elizabeth arden ,100,women,toilette,69.43,69.43
nina ricci nina,"nina ricci nina for women -eau de toilette, 80ml",na,80,women,toilette,163.50,163.50
thierry mugler angel,"thierry mugler angel for women -eau de parfum, 25 ml",na,25,women,parfum,210.00 SAR,146.61
aqua kiss,"aqua kiss by victoria's secret for women - perfume mist, 250ml",victoria's secret ,250,women,na,41.00,41.00
cigar,"cigar for men -eau de toilette, 100 ml-",na,100,men,toilette,95.55 SAR,57.00
green tea exotic,"green tea exotic by elizabeth arden for women - eau de toilette, 100ml",elizabeth arden ,100,women,toilette,104.00 SAR,66.49
ice dive,"ice dive by adidas for men - eau de toilette, 100ml",adidas ,100,men,toilette,70.00 SAR,37.99
givenchy gentlemen only casual chic eau de toilette,givenchy gentlemen only casual chic eau de toilette for men 50ml,na,50,men,toilette,321.00 SAR,157.89
womanity,"womanity by thierry mugler for women - eau de parfum, 80 ml",thierry mugler ,80,women,parfum,420.00 SAR,239.99
joyful,"joyful by escada for women - eau de parfum, 75ml",escada ,75,women,parfum,273.00 SAR,125.49
chopard perfume,"chopard perfume for men , eau de parfum , 80ml",na,80,men,parfum,525.00 SAR,215.00
bleu de chanel,"bleu de chanel for men - eau de toilette, 150ml",na,150,men,toilette,630.00 SAR,620.00
pure musk,"pure musk by lattafa for unisex - eau de parfum, 100ml",lattafa ,100,unisex,parfum,31.00,31.00
white patchouli,"white patchouli by tom ford for unisex - eau de parfum, 100 ml",tom ford ,100,unisex,parfum,732.00 SAR,388.95
paco rabanne invictus,"paco rabanne invictus for men - eau de toilette, 150ml",na,150,men,toilette,299.19,299.19
"lattafa dehen aloud aslobi for,unisex, 100 ml, eau de parfum","lattafa dehen aloud aslobi for,unisex, 100 ml, eau de parfum",na,100,unisex,parfum,126.00 SAR,42.49
cinema,"cinema by yves saint laurent for women - eau de parfum, 90ml",yves saint laurent ,90,women,parfum,452.00 SAR,215.00
black afgano,"black afgano by nasomatto for unisex - extrait de parfum, 30ml",nasomatto ,30,unisex,parfum,508.48,508.48
estee,estee by estee lauder super eau de parfum spray 1.7 oz/ 50ml new gold packaging,estee lauder super eau de parfum spray 1.7 oz/ 50ml new gold packaging,50,na,parfum,321.00 SAR,132.31
heiress,"heiress by paris hilton for women - eau de parfum, 100ml",paris hilton ,100,women,parfum,167.00 SAR,102.98
ferrari black,"ferrari black by ferrari for men - eau de toilette ,200ml",ferrari ,200,men,toilette,210.00 SAR,96.92
amethyst eclat,"amethyst eclat by lalique for women - eau de parfum, 100ml",lalique ,100,women,parfum,123.98,123.98
body,"body by burberry for women - eau de parfum, 4.5ml",burberry ,5,women,parfum,29.45,29.45
chrome united,"chrome united by azzaro for men - eau de toilette, 100ml",azzaro ,100,men,toilette,315.00 SAR,128.97
acqua di gio pour homme,"acqua di gio pour homme by giorgio armani for men - eau de toilette, 200ml",giorgio armani ,200,men,toilette,397.94,397.94
pasha de cartier edition noire eau de toilette,pasha de cartier edition noire eau de toilette for men 100ml,na,100,men,toilette,168.97,168.97
fendi fan di fendi,"fendi fan di fendi for women , eau de parfum ,  50ml",na,50,women,parfum,315.00 SAR,167.98
jasmin noir,"jasmin noir by bvlgari for women - eau de parfum , 100ml",bvlgari ,100,women,parfum,367.50 SAR,231.20
eau de nuit,"eau de nuit by giorgio armani for men - eau de toilette, 100ml",giorgio armani ,100,men,toilette,367.00 SAR,266.28
booster,"booster by lacoste for men - eau de toilette, 125ml",lacoste ,125,men,toilette,242.00 SAR,137.75
aoud queen roses,"aoud queen roses by montale for women - eau de parfum, 100 ml",montale ,100,women,parfum,389.00 SAR,237.97
just gold,"just gold by roberto cavalli for women -eau de parfum, 50ml -75001500000",roberto cavalli ,50,women,parfum,490.00 SAR,124.93
n°5,"n°5 by chanel for women - eau de parfum, 50 ml",chanel ,50,women,parfum,630.00 SAR,440.99
pure poison,"pure poison by christian dior for women - eau de parfum, 100 ml",christian dior ,100,women,parfum,580.00 SAR,525.19
"versace pour homme sealed dylan blue eau de toilette, 3.4 ounce","versace pour homme sealed dylan blue eau de toilette, 3.4 ounce",na,,na,toilette,177.92,177.92
chance eau tendre,"chance eau tendre by chanel for women - eau de toilette, 50 ml",chanel ,50,women,toilette,515.00 SAR,396.60
"sheikh shuyukh,eau de parfum, 50 ml","sheikh shuyukh,eau de parfum, 50 ml",na,50,na,parfum,126.00 SAR,42.50
boss element,"boss element by hugo boss for men - eau de toilette, 90ml",hugo boss ,90,men,toilette,134.97,134.97
gold intensive aoud,"gold intensive aoud by mancera for men & women - eau de parfum, 120ml",mancera ,120,unisex,parfum,221.20,221.20
passion struck,"passion struck by victoria secret for women - perfume mist, 250ml",victoria secret ,250,women,na,77.70 SAR,58.10
s.t. dupont essence pure,"s.t. dupont essence pure for women, 100 ml ,eau de toilette",na,100,women,toilette,76.86,76.86
roberto cavalli nero assoluto roberto cavalli,roberto cavalli nero assoluto roberto cavalli for women - eau de parfum - 75 ml,na,75,women,parfum,260.40 SAR,119.71
black xs,"black xs by paco rabanne for men - eau de toilette, 100ml",paco rabanne ,100,men,toilette,268.00 SAR,249.48
pour un homme de caron eau de toilette,pour un homme de caron eau de toilette for men 125 ml,na,125,men,toilette,263.00 SAR,120.95
sunset cafe perfume,"sunset cafe perfume for kids , eau de parfum , 100ml",na,100,na,parfum,120.00 SAR,41.90
aoud leather,"aoud leather by montale for unisex - eau de parfum, 100ml",montale ,100,unisex,parfum,389.00 SAR,229.23
l'aquarossa,"l'aquarossa by fendi for women - eau de parfum, 50ml",fendi ,50,women,parfum,150.00 SAR,125.48
azzaro twin,"azzaro twin for women - eau de toilette, 80ml",na,80,women,toilette,110.99,110.99
seductive,"seductive by guess for girls - eau de parfum, 75 ml",guess ,75,na,parfum,73.78,73.78
van cleef & arpels pour homme,van cleef & arpels pour homme by van cleef & arpels 100ml l,van cleef & arpels 100ml l,100,na,na,250.00,250.00
imperial,"imperial by jaguar for men - eau de toilette, 100ml",jaguar ,100,men,toilette,81.88,81.88
pulse,"pulse by beyonce for women - eau de parfum, 100ml",beyonce ,100,women,parfum,83.00 SAR,66.99
mahasin crystal,"mahasin crystal by lattafa for women - eau de parfum, 100ml",lattafa ,100,women,parfum,116.00 SAR,40.98
sì intense,"sì intense by giorgio armani for women - eau de parfum, 50ml",giorgio armani ,50,women,parfum,503.00 SAR,285.98
powder flowers,powder flowers by montale 100ml eau de parfum for women,montale 100ml eau de parfum ,100,women,parfum,389.00 SAR,233.97
essence des palais eaudemoiselle,"essence des palais eaudemoiselle by givenchy, 100 ml","givenchy, 100 ml",100,na,na,490.00 SAR,282.94
endless euphoria,"endless euphoria by calvin klein for women - eau de parfum, 125ml",calvin klein ,125,women,parfum,472.50 SAR,143.48
living lalique,"living lalique by lalique for women - eau de parfum, 100ml",lalique ,100,women,parfum,346.00 SAR,121.77
hidden fantasy,"hidden fantasy by britney spears for women - eau de parfum, 100ml",britney spears ,100,women,parfum,315.00 SAR,84.87
carolina herrera good girl eau de parfum spray,"carolina herrera good girl eau de parfum spray for women, 1.7 ounce",na,,women,parfum,221.97,221.97
flowerbomb,"flowerbomb by viktor & rolf for women - eau de parfum, 100ml",viktor & rolf ,100,women,parfum,618.45 SAR,515.93
sublime,"sublime by carolina herrera for women - eau de parfum, 50ml",carolina herrera ,50,women,parfum,756.00 SAR,210.61
5th avenue only nyc,"5th avenue only nyc by elizabeth arden for women - eau de parfum, 125ml",elizabeth arden ,125,women,parfum,125.00,125.00
vision,"vision by jaguar for men - eau de toilette, 100 ml",jaguar ,100,men,toilette,153.00 SAR,69.25
paris hilton can can par-1503,"paris hilton can can par-1503 for women -eau de parfum, 100 ml",na,100,women,parfum,237.00 SAR,98.47
club de nuit intense,"club de nuit intense by armaf for men - eau de toilette, 105ml",armaf ,105,men,toilette,280.00 SAR,94.97
carrera,"carrera for men -eau de toilette, 100 ml-",na,100,men,toilette,83.00 SAR,33.69
aoud cafe,"aoud cafe by mancera for unisex - eau de parfum, 120 ml",mancera ,120,unisex,parfum,350.00 SAR,244.80
lady korloff paris,lady korloff paris for women eau de parfum 88 ml,na,88,women,parfum,402.00 SAR,110.00
kenzo flower,"kenzo flower for women -eau de parfum, 100 ml-",na,100,women,parfum,524.00 SAR,268.17
the collector silver ombre,"the collector silver ombre by alexandre.j for men & women - eau de parfum, 100 ml",alexandre.j ,100,unisex,parfum,368.00 SAR,155.44
l’eau d’issey pour homme sport,"l’eau d’issey pour homme sport by issey miyake for men - eau de toilette, 100ml",issey miyake ,100,men,toilette,300.00 SAR,165.48
ysl black opium edp l 50ml,ysl black opium edp l 50ml,na,50,na,na,329.88,329.88
la petite robe noire couture,"la petite robe noire couture by guerlain for women - eau de parfum, 100 ml",guerlain ,100,women,parfum,415.00 SAR,232.48
ser al khulood browen perfume,"ser al khulood browen perfume by lattafa for unisex , 100 ml , eau de parfum",lattafa ,100,unisex,parfum,105.00 SAR,44.88
encre noir sport,"encre noir sport by lalique for men - eau de toilette, 100ml",lalique ,100,men,toilette,399.00 SAR,118.79
bleu noir,"bleu noir by narciso rodriguez for men - eau de toilette, 100ml",narciso rodriguez ,100,men,toilette,209.93,209.93
arabian knight,"arabian knight by arabian oud for men , eau de parfum , 100ml",arabian oud ,100,men,parfum,380.00 SAR,291.47
versace pour femme oud oriental,"versace pour femme oud oriental by versace for women - eau de parfum, 100 ml",versace ,100,women,parfum,231.47,231.47
trussardi my land pour homme,"trussardi my land pour homme for men -100 ml , eau de toilette",na,100,men,toilette,390.00 SAR,170.97
escada absolutely me,"escada absolutely me for women -75ml, eau de parfum-",na,75,women,parfum,294.00 SAR,167.09
pink fresh couture,"pink fresh couture by moschino for women - eau de toilette, 100 ml",moschino ,100,women,toilette,153.97,153.97
calvin klein deep euphoria,"calvin klein deep euphoria for women eau de parfum ,100ml",na,100,women,parfum,387.00 SAR,222.58
bvlgari splendid jasmin noir,bvlgari splendid jasmin noir for women 100ml - eau de parfum,na,100,women,parfum,490.00 SAR,199.99
d alfred,"d alfred by dunhill for men - eau de toilette, 100ml",dunhill ,100,men,toilette,91.88,91.88
eternity,"eternity by calvin klein for men - eau de toilette, 50ml",calvin klein ,50,men,toilette,110.00,110.00
dark kiss body mist,"dark kiss body mist by bath & body works for women - eau de splash, 88ml",bath & body works ,88,women,na,33.32,33.32
eternity aqua,"eternity aqua by calvin klein for women - eau de parfum, 100ml",calvin klein ,100,women,parfum,300.00 SAR,185.99
team force,"team force by adidas for men - eau de toilette, 100 ml",adidas ,100,men,toilette,70.00 SAR,45.94
johan b perfume,"johan b perfume for men , eau de toilette , 100ml",na,100,men,toilette,111.00 SAR,51.95
s.t. dupont noir,"s.t. dupont noir for men -eau de toilette, 100ml-",na,100,men,toilette,126.00 SAR,99.90
la panthere edition soir,"la panthere edition soir by cartier for women - eau de parfum, 75ml",cartier ,75,women,parfum,550.00 SAR,203.90
seduction in black,"seduction in black by antonio banderas for men - eau de toilette, 100 ml",antonio banderas ,100,men,toilette,331.00 SAR,94.49
"cartier la panthere noir absolu, eau de parfum, 75 ml","cartier la panthere noir absolu, eau de parfum, 75 ml",na,75,na,parfum,735.00 SAR,294.64
royale blue,"royale blue by al rasasi for men - eau de parfum, 75ml",al rasasi ,75,men,parfum,42.25,42.25
gucci bamboo,gucci bamboo for women eau de toilette 75ml,na,75,women,toilette,405.00 SAR,176.85
top notch,top notch for men eau de perfume,na,,men,na,240.00,240.00
mont blanc emblem eau de toilette,mont blanc emblem eau de toilette for men 100ml,na,100,men,toilette,140.97,140.97
wish,"wish by chopard for women - eau de parfum, 75 ml",chopard ,75,women,parfum,209.00 SAR,89.85
aigner too feminine,"aigner too feminine for women -eau de parfum, 100 ml",na,100,women,parfum,184.00 SAR,107.97
homme joop!,"homme joop! by joop for men - eau de toilette, 75 ml",joop ,75,men,toilette,210.00 SAR,77.49
oxygene,"oxygene by lanvin for women - eau de parfum, 75ml",lanvin ,75,women,parfum,156.00 SAR,100.85
the collector zafeer oud vanille,"the collector zafeer oud vanille by alexandre.j for men & women - eau de parfum, 100 ml",alexandre.j ,100,unisex,parfum,578.00 SAR,203.98
hugo boss nuit pour femme,"hugo boss nuit pour femme for women 50 ml, eau de parfum",na,50,women,parfum,199.50 SAR,109.29
just cavalli gold,"just cavalli gold by roberto cavalli for women - eau de parfum, 75ml",roberto cavalli ,75,women,parfum,490.00 SAR,192.91
gucci,"gucci by gucci for women - eau de parfum, 75ml",gucci ,75,women,parfum,420.00 SAR,213.30
jovan black musk,jovan black musk for women 96ml - eau de cologne,na,96,women,na,90.00 SAR,32.97
especially escada eau de,especially escada eau de for women [75ml],na,75,women,na,272.00 SAR,128.73
ch men sport,"ch men sport by carolina herrera for men - eau de toilette, 100ml",carolina herrera ,100,men,toilette,409.00 SAR,120.97
dolce&gabbana the one sport,"dolce&gabbana the one sport for men , edt , 100ml",na,100,men,na,305.00 SAR,191.00
angel schlesser essential eau de parfum,"angel schlesser essential eau de parfum for women, 100ml",na,100,women,parfum,189.00 SAR,112.93
pleasures,"pleasures by estee lauder for women - eau de parfum, 50ml",estee lauder ,50,women,parfum,139.57,139.57
gift pure oudi,"gift pure oudi by lattafa for women - eau de parfum, 100ml",lattafa ,100,women,parfum,126.00 SAR,48.94
versace bright crystal,versace bright crystal for women 50 ml - eau de toilette,na,50,women,toilette,284.00 SAR,164.98
good girl,"good girl by carolina herrera for women - eau de parfum, 80 ml",carolina herrera ,80,women,parfum,734.00 SAR,279.97
black opium,"black opium by yves saint laurent for women - eau de toilette, 50ml",yves saint laurent ,50,women,toilette,451.50 SAR,281.99
team five special edition,"team five special edition by adidas for men - eau de toilette, 100ml",adidas ,100,men,toilette,70.00 SAR,43.37
armani code giorgio,"armani code giorgio by armani for men - eau de toilette, 75ml",armani ,75,men,toilette,319.20 SAR,289.29
mercedes benz,mercedes benz for men 120ml - eau de toilette,na,120,men,toilette,393.00 SAR,133.98
drakkar noir,"drakkar noir by guy laroche for men - eau de toilette, 100ml",guy laroche ,100,men,toilette,110.97,110.97
washwasha,"washwasha by lattafa for women - eau de parfum, 100 ml",lattafa ,100,women,parfum,82.00 SAR,36.32
rare pearls,"rare pearls by avon for women - eau de parfum, 50ml",avon ,50,women,parfum,104.00 SAR,75.00
orlane derrick,"orlane derrick for men -eau de toilette, 100 ml-",na,100,men,toilette,108.00,108.00
because it's you,"because it's you by emporio armani for women - eau de parfum, 100ml",emporio armani ,100,women,parfum,287.00,287.00
"roberto cavalli paradisio azzuro eau de parfum spray, 2.5 ounce","roberto cavalli paradisio azzuro eau de parfum spray, 2.5 ounce",na,,na,parfum,129.53,129.53
gucci gucci guilty intense,gucci gucci guilty intense for men 90ml - eau de toilette,na,90,men,toilette,258.00 SAR,172.98
block link for men,"block link for men by julia robenson, eau de parfum, 100ml","julia robenson, eau de parfum, 100ml",100,men,parfum,116.00 SAR,49.97
real madrid,real madrid by air val international 100ml eau de toilette,air val international 100ml eau de toilette,100,na,toilette,142.00 SAR,53.98
vanderbilt,"vanderbilt by gloria vanderbilt for women - eau de toilette , 100ml",gloria vanderbilt ,100,women,toilette,69.13,69.13
collection extraordinaire orchidee vanille,"collection extraordinaire orchidee vanille by van cleef & arpels for women - eau de parfum, 75 ml",van cleef & arpels ,75,women,parfum,546.00 SAR,284.34
genesis oud malaki,"genesis oud malaki by le chameau for unisex - eau de toilette, 100ml",le chameau ,100,unisex,toilette,114.45 SAR,95.00
nuit d'issey parfum,"nuit d'issey parfum by issey miyake for men - eau de toilette, 75ml",issey miyake ,75,men,parfum,190.00,190.00
weekend,"weekend by burberry for men - eau de toilette, 100 ml",burberry ,100,men,toilette,134.16,134.16
les aboslus d`orient oud essentiel,"les aboslus d`orient oud essentiel by guerlain for men & women - eau de parfum, 125ml",guerlain ,125,unisex,parfum,322.25,322.25
karl lagerfeld fleur de pecher,"karl lagerfeld fleur de pecher for women - eau de parfum, size 100 ml",na,100,women,parfum,368.00 SAR,167.09
1 million lucky,"1 million lucky by paco rabanne for men - eau de toilette, 100 ml",paco rabanne ,100,men,toilette,418.00 SAR,267.37
modern muse chic,"modern muse chic by estee lauder for women - eau de parfum, 100 ml",estee lauder ,100,women,parfum,431.00 SAR,257.50
pure gold euphoria,"pure gold euphoria by calvin klein for men eau de parfum , 100 ml",calvin klein ,100,men,parfum,151.75,151.75
polo supreme leather,"polo supreme leather by ralph lauren for men - eau de parfum, 125ml",ralph lauren ,125,men,parfum,262.00,262.00
emporio armani lei,"emporio armani lei by giorgio armani for women - eau de parfum, 100ml",giorgio armani ,100,women,parfum,378.00 SAR,296.39
bvlgari splendida iris d'or,bvlgari splendida iris d'or for women 100ml - eau de parfum,na,100,women,parfum,550.00 SAR,220.94
cedar essence,"cedar essence by ferrari for men - eau de parfum, 100ml",ferrari ,100,men,parfum,315.00 SAR,77.32
man extreme,"man extreme by bvlgari for men - eau de toilette, 100ml",bvlgari ,100,men,toilette,300.00 SAR,160.00
pure gold,pure gold by montale 100ml eau de parfum for women,montale 100ml eau de parfum ,100,women,parfum,389.00 SAR,236.29
si passione,"si passione by giorgio armani for women - eau de parfum, 50 ml",giorgio armani ,50,women,parfum,345.00,345.00
narciso,narciso by narciso rodriguez eau de parfum for women 50ml,narciso rodriguez eau de parfum ,50,women,parfum,399.00 SAR,231.49
cheap & chic i love love,"cheap & chic i love love by moschino for women - eau de toilette, 100ml",moschino ,100,women,toilette,144.72,144.72
royale,"royale by al rasasi for men - eau de toilette , 75ml",al rasasi ,75,men,toilette,44.95,44.95
united colors of benetton hot gold,"united colors of benetton hot gold by benetton for women - eau de toilette , 100 ml",benetton ,100,women,toilette,77.00 SAR,27.97
escape,"escape by calvin klein for men - eau de toilette, 100ml",calvin klein ,100,men,toilette,241.00 SAR,74.83
raindrops,"raindrops by ajmal for women - eau de parfum, 50ml",ajmal ,50,women,parfum,47.97,47.97
dunhill x-centric,"dunhill x-centric by alfred dunhill for men - eau de toilette, 100ml",alfred dunhill ,100,men,toilette,209.00 SAR,95.98
victory league,"victory league by adidas for men - eau de toilette, 100ml",adidas ,100,men,toilette,70.00 SAR,34.99
eros miniture,"eros miniture by versace for women - eau de parfum, 5ml",versace ,5,women,parfum,29.02,29.02
valentino donna,"valentino donna by valentino for women - eau de parfum, 50 ml",valentino ,50,women,parfum,229.71,229.71
illicit,"illicit by jimmy choo for women - eau de parfum, 100ml",jimmy choo ,100,women,parfum,336.00 SAR,136.40
212 sexy,"212 sexy by carolina herrera for men - eau de toilette, 100ml",carolina herrera ,100,men,toilette,436.00 SAR,167.19
gucci guilty diamond,"gucci guilty diamond by gucci for women - eau de toilette, 75ml",gucci ,75,women,toilette,619.00 SAR,249.99
l’ange noir,"l’ange noir by givenchy for women - eau de parfum, 75ml",givenchy ,75,women,parfum,483.00 SAR,202.99
amethyst,"amethyst by lalique for women - eau de parfum, 100ml",lalique ,100,women,parfum,189.00 SAR,78.96
milton looyd colour me oud,"milton looyd colour me oud for men -eau de toilette, 90ml",na,90,men,toilette,87.00 SAR,49.92
revlon charlie red,"revlon charlie red for women -eau de toilette, 100 ml",na,100,women,toilette,43.10,43.10
challenge re fresh,challenge re fresh by lacoste for men - 90 ml,lacoste ,90,men,na,331.00 SAR,145.93
michael kors,"michael kors by michael kors for women -eau de parfum, 100 ml",michael kors ,100,women,parfum,504.00 SAR,219.92
aspen,"aspen by aspen for men - eau de cologne, 118ml",aspen ,118,men,na,58.00 SAR,40.00
herod royal essence,"herod royal essence by parfums de marly for men - eau de parfum, 125ml",parfums de marly ,125,men,parfum,496.32,496.32
l'envol,"l'envol by cartier for women - eau de toilette, 80ml",cartier ,80,women,toilette,390.00 SAR,190.77
"adidas get ready, eau de toilette, 100ml","adidas get ready, eau de toilette, 100ml",na,100,na,toilette,41.97,41.97
essence pure pour homme,"essence pure pour homme by s.t. dupont for men - eau de toilette, 100ml",s.t. dupont ,100,men,toilette,73.97,73.97
emanuel ungaro diva,"emanuel ungaro diva for women -100 ml, eau de parfum-",na,100,women,parfum,231.00 SAR,129.50
colour me purple edp,"colour me purple edp for women, eau de parfum, 100 ml",na,100,women,parfum,103.95 SAR,53.99
beckham beyond,beckham beyond for men 90ml - eau de toilette,na,90,men,toilette,115.49,115.49
le parfum,"le parfum by elie saab for women - eau de parfum, 50ml",elie saab ,50,women,parfum,473.00 SAR,184.98
live,"live by jennifer lopez for women - eau de parfum, 100 ml",jennifer lopez ,100,women,parfum,168.00 SAR,83.39
my burberry,"my burberry by burberry for women - eau de toilette, 90ml",burberry ,90,women,toilette,567.00 SAR,183.00
360 eau de toilette,"360 eau de toilette by perry ellis for men, 100 ml",perry ellis ,100,men,toilette,297.00 SAR,112.46
shiseido zen,"shiseido zen for women -100 ml, eau de parfum-",na,100,women,parfum,399.00 SAR,291.10
signorina,signorina by salvatore ferragamo 100ml eau de parfum,salvatore ferragamo 100ml eau de parfum,100,na,parfum,336.00 SAR,158.50
body,"body by burberry for women - eau de parfum, 85ml",burberry ,85,women,parfum,263.00 SAR,142.15
farasha 4 perfume for women,"farasha 4 perfume for women by arabian oud, 100ml, 301020351","arabian oud, 100ml, 301020351",100,women,na,220.00 SAR,108.50
acqua di gio profumo,"acqua di gio profumo by giorgio armani for men - eau de toilette, 125ml",giorgio armani ,125,men,toilette,448.90,448.90
aigner starlight,"aigner starlight for women -eau de parfum, 100 ml",na,100,women,parfum,351.75 SAR,116.70
he wood,"he wood by dsquared2 for men - eau de toilette , 100ml",dsquared2 ,100,men,toilette,244.48,244.48
